City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
82,Marbella,ES,36.52,-4.89,69.8,88,75,8.05,broken clouds
83,Ostrovnoy,RU,68.05,39.51,39.25,83,100,6.29,overcast clouds
84,Zhezkazgan,KZ,47.8,67.71,46.4,81,75,8.95,broken clouds
85,Manadhoo,MV,5.77,73.38,82.4,75,96,15.1,overcast clouds
86,Klaksvik,FO,62.23,-6.59,50.0,100,86,13.87,overcast clouds
87,Lepaera,HN,14.78,-88.58,63.66,100,46,2.95,scattered clouds
88,Ancud,CL,-41.87,-73.82,46.0,83,94,10.74,overcast clouds
89,Malyn,UA,50.77,29.24,46.4,81,32,8.95,scattered clouds
90,Kiruna,SE,67.86,20.23,39.2,86,100,17.22,overcast clouds
91,Kupino,RU,54.37,77.3,50.67,80,92,8.9,overcast clouds
92,Ponta Do Sol,PT,32.67,-17.1,68.0,72,20,5.82,few clouds
93,Sulina,RO,45.16,29.65,64.6,73,6,20.98,clear sky
94,Vardo,NO,70.37,31.11,44.2,80,100,24.76,overcast clouds
95,Barcelos,PT,41.54,-8.62,62.01,93,89,4.7,overcast clouds
96,Narsaq,GL,60.92,-46.05,44.6,70,100,5.82,moderate rain
97,Saint-Pierre,RE,-21.34,55.48,66.2,59,16,8.05,few clouds
98,Poddorye,RU,57.47,31.12,47.39,93,92,13.78,light rain
99,Itarema,BR,-2.92,-39.92,77.34,83,4,14.43,clear sky
100,Atoka,US,34.4,-96.02,71.6,88,86,7.92,overcast clouds
101,Castro,BR,-24.79,-50.01,59.52,83,100,0.56,overcast clouds
102,Rio Gallegos,AR,-51.62,-69.22,35.6,69,9,28.86,clear sky
103,Puerto Colombia,CO,10.99,-74.95,78.8,94,20,3.36,few clouds
104,Lebu,CL,-37.62,-73.65,48.43,83,1,13.06,clear sky
105,Meru,KE,0.05,37.66,59.04,78,75,5.68,broken clouds
106,Nanortalik,GL,60.14,-45.24,43.52,90,86,11.86,light rain
107,Atbasar,KZ,51.8,68.33,49.98,82,100,11.88,overcast clouds
108,Morondava,MG,-20.28,44.28,73.13,87,1,5.86,clear sky
109,Normandin,CA,48.83,-72.53,39.2,69,5,9.17,clear sky
110,Ryazanovskiy,RU,55.55,39.43,44.74,94,44,6.6,scattered clouds
111,Elizabeth City,US,36.29,-76.25,75.2,100,90,9.17,moderate rain
112,Iquitos,PE,-3.75,-73.25,76.19,75,85,1.83,light rain
113,Zambezi,ZM,-13.54,23.1,68.56,69,89,1.28,overcast clouds
114,Nadym,RU,65.53,72.52,48.52,90,96,7.11,overcast clouds
115,Kez,RU,57.9,53.72,44.19,78,100,10.96,light rain
116,Baghdad,IQ,33.34,44.4,77.0,50,0,2.24,clear sky
117,Luanda,AO,-8.84,13.23,69.8,88,75,9.17,broken clouds
118,La Palma,US,33.85,-118.05,84.2,20,1,4.7,clear sky
119,Kutum,SD,14.2,24.67,75.72,42,43,2.42,scattered clouds
120,Batman,TR,37.89,41.13,60.8,59,0,3.36,clear sky
121,Mecca,SA,21.43,39.83,85.53,27,12,5.59,few clouds
122,Piacabucu,BR,-10.41,-36.43,71.55,83,0,3.49,clear sky
123,Bagotville,AU,-28.98,153.42,75.2,73,40,12.75,scattered clouds
124,Rawson,AR,-43.3,-65.1,50.05,46,5,24.81,clear sky
125,Longyearbyen,SJ,78.22,15.64,37.4,86,75,4.7,broken clouds
126,Sao Filipe,CV,14.9,-24.5,79.65,84,0,7.9,clear sky
127,Tasiilaq,GL,65.61,-37.64,37.4,69,100,2.71,overcast clouds
128,Norrtalje,SE,59.76,18.7,46.99,93,93,4.7,overcast clouds
129,Hanko,FI,59.83,22.95,43.0,84,74,1.99,broken clouds
130,Hvolsvollur,IS,63.75,-20.22,44.01,97,100,5.99,overcast clouds
131,Los Llanos De Aridane,ES,28.66,-17.92,71.6,68,85,5.82,overcast clouds
132,Monrovia,LR,6.3,-10.8,76.23,89,99,10.45,light rain
133,Grand Gaube,MU,-20.01,57.66,72.0,64,88,5.99,light rain
134,Makurdi,NG,7.74,8.51,73.13,94,99,4.29,light rain
135,Beyla,GN,8.68,-8.63,67.33,97,91,2.82,overcast clouds
136,Viedma,AR,-40.81,-63.0,52.39,41,10,19.08,clear sky
137,Maragogi,BR,-9.01,-35.22,72.37,81,0,5.19,clear sky
138,Muscat,OM,23.61,58.59,78.8,54,0,3.36,clear sky
139,Falmouth,GB,50.15,-5.07,57.2,82,0,34.45,clear sky
140,Ullal,IN,12.8,74.85,75.2,94,90,14.83,light rain
141,Gunjur,GM,13.2,-16.73,77.0,100,40,12.35,scattered clouds
142,Bhanpuri,IN,21.1,80.92,84.31,74,100,2.17,overcast clouds
143,Teguldet,RU,57.31,88.17,54.68,82,1,9.6,clear sky
144,Salalah,OM,17.02,54.09,80.6,83,75,8.05,broken clouds
145,Odweyne,SO,9.41,45.06,75.54,50,0,8.21,clear sky
146,Doha,QA,25.29,51.53,88.0,62,0,4.7,clear sky
147,Nileshwar,IN,12.25,75.1,75.2,94,75,3.36,broken clouds
148,Kondinskoye,RU,59.65,67.41,46.06,86,100,12.66,overcast clouds
149,Vestmanna,FO,62.16,-7.17,50.0,100,62,13.87,broken clouds
150,Kyotera,UG,-0.62,31.52,64.92,67,10,2.42,clear sky
151,Mamallapuram,IN,12.63,80.17,84.2,70,75,9.17,haze
152,Torbay,CA,47.67,-52.73,64.0,82,75,19.46,broken clouds
153,Ribeira Grande,PT,38.52,-28.7,70.5,78,57,16.4,broken clouds
154,Chapais,CA,49.78,-74.85,35.6,74,1,5.82,clear sky
155,Mazamari,PE,-11.33,-74.53,73.4,69,92,1.34,overcast clouds
156,Dingle,PH,11.0,122.67,81.68,80,100,1.39,overcast clouds
157,Madinat Sittah Uktubar,EG,29.82,31.05,77.0,88,20,13.87,few clouds
158,Antofagasta,CL,-23.65,-70.4,55.4,82,90,2.24,overcast clouds
159,Namibe,AO,-15.2,12.15,58.86,85,0,2.71,clear sky
160,Mahibadhoo,MV,3.78,72.97,82.45,76,81,7.87,broken clouds
161,Mahajanga,MG,-15.72,46.32,68.0,72,20,5.82,few clouds
162,Marawi,PH,8.0,124.29,84.99,76,86,5.99,overcast clouds
163,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,76.68,80,82,0.25,light rain
164,Andenes,NO,69.31,16.12,44.6,100,100,20.8,light rain
165,Abdulino,RU,53.7,53.67,43.88,86,77,9.84,broken clouds
166,Nizhniy Chir,RU,48.36,43.09,55.6,53,17,15.75,few clouds
167,Sidrolandia,BR,-20.93,-54.96,73.4,53,30,11.41,scattered clouds
168,Maldonado,UY,-34.67,-54.92,62.6,59,1,9.17,clear sky
169,Channel-Port Aux Basques,CA,47.57,-59.14,52.0,86,65,9.08,broken clouds
170,Gidam,IN,18.98,81.4,83.61,78,66,2.1,broken clouds
171,Kindu,CD,-2.95,25.95,70.61,94,65,1.14,light rain
172,Marrakesh,MA,31.63,-8.01,71.6,64,40,8.05,scattered clouds
173,Villa Carlos Paz,AR,-31.42,-64.5,72.0,33,0,10.29,light rain
174,Artemovsk,UA,49.84,36.04,53.6,71,40,11.18,scattered clouds
175,Eggenfelden,DE,48.41,12.76,53.01,88,0,11.45,clear sky
176,Abu Dhabi,AE,24.47,54.37,82.4,83,0,8.05,clear sky
177,General Pico,AR,-35.66,-63.76,61.25,31,0,12.39,clear sky
178,Marzuq,YE,14.4,46.47,76.37,48,0,1.19,clear sky
179,Orocue,CO,4.79,-71.34,77.2,82,67,1.97,broken clouds
180,Taywarah,AF,33.35,64.42,44.56,54,0,7.56,clear sky
181,Maniwaki,CA,46.38,-75.97,36.99,77,0,2.28,clear sky
182,Cap-Aux-Meules,CA,47.38,-61.86,50.0,71,75,10.29,broken clouds
183,Coquimbo,CL,-29.95,-71.34,53.6,87,0,1.3,clear sky
184,Krasnoselkup,RU,65.7,82.47,50.16,74,33,9.75,scattered clouds
185,Hofn,IS,64.25,-15.21,48.47,68,0,4.45,clear sky
186,Turukhansk,RU,65.82,87.98,53.64,80,100,10.83,overcast clouds
187,Bucak,TR,37.46,30.59,77.0,59,0,6.93,clear sky
188,Pakpattan,PK,30.34,73.39,93.34,39,0,3.89,clear sky
189,Geraldton,AU,-28.77,114.6,69.8,35,0,17.22,clear sky
190,Bataipora,BR,-22.3,-53.27,68.16,70,84,3.11,broken clouds
191,Agadez,NE,19.75,10.25,87.37,25,82,17.92,broken clouds
192,Vestmannaeyjar,IS,63.44,-20.27,49.75,75,100,18.95,overcast clouds
193,Ponta Delgada,PT,37.73,-25.67,68.0,72,20,10.29,few clouds
194,Pangody,RU,65.85,74.49,46.81,90,100,13.42,light rain
195,Inyonga,TZ,-6.72,32.07,61.65,56,89,4.47,overcast clouds
196,Goderich,CA,43.75,-81.72,54.0,71,0,15.1,clear sky
197,Bara,NG,10.37,10.73,72.9,91,97,4.27,light rain
198,Muros,ES,42.78,-9.06,62.01,95,60,3.0,light rain
199,Tabory,RU,58.52,64.55,42.91,86,98,8.05,overcast clouds
200,Teguise,ES,29.06,-13.56,73.4,78,53,5.82,broken clouds
201,Oktyabrskoye,RU,43.06,44.74,48.0,100,100,6.71,overcast clouds
202,Nioro,GM,13.35,-15.75,75.63,93,100,6.67,overcast clouds
203,Bad Liebenwerda,DE,51.52,13.4,46.4,93,55,1.12,broken clouds
204,Coutances,FR,49.05,-1.43,61.0,72,0,16.11,clear sky
205,Marsh Harbour,BS,26.54,-77.06,83.68,72,91,9.17,overcast clouds
206,Usinsk,RU,65.99,57.53,39.18,86,99,13.58,overcast clouds
207,Grahamstown,ZA,-33.3,26.53,46.42,91,0,4.52,clear sky
208,Planeta Rica,CO,8.41,-75.59,75.09,91,100,6.4,overcast clouds
209,Paamiut,GL,61.99,-49.67,43.29,81,100,43.73,light rain
210,Clermont,FR,49.5,2.42,53.6,66,0,5.82,clear sky
211,Ilulissat,GL,69.22,-51.1,30.2,54,7,2.24,clear sky
212,Jalu,LY,29.03,21.55,73.24,71,0,9.08,clear sky
213,Inhambane,MZ,-23.86,35.38,70.29,87,1,4.29,clear sky
214,Corning,US,42.14,-77.05,60.8,72,75,4.7,broken clouds
